file_path,emotion,transcript,label,prosody_text
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_bought_fear.wav,fear,bought,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_burn_fear.wav,fear,burn,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_cab_fear.wav,fear,cab,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_calm_fear.wav,fear,calm,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_came_fear.wav,fear,came,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_cause_fear.wav,fear,cause,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_chain_fear.wav,fear,chain,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_chair_fear.wav,fear,chair,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_chalk_fear.wav,fear,chalk,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_chat_fear.wav,fear,chat,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_check_fear.wav,fear,check,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_cheek_fear.wav,fear,cheek,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_chief_fear.wav,fear,chief,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_choice_fear.wav,fear,choice,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, noisy rough voice quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_cool_fear.wav,fear,cool,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_dab_fear.wav,fear,dab,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_date_fear.wav,fear,date,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_dead_fear.wav,fear,dead,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_death_fear.wav,fear,death,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, noisy rough voice quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_deep_fear.wav,fear,deep,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_dime_fear.wav,fear,dime,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_dip_fear.wav,fear,dip,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_ditch_fear.wav,fear,ditch,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_dodge_fear.wav,fear,dodge,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_dog_fear.wav,fear,dog,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_doll_fear.wav,fear,doll,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_door_fear.wav,fear,door,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_fail_fear.wav,fear,fail,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_fall_fear.wav,fear,fall,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_far_fear.wav,fear,far,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_fat_fear.wav,fear,fat,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_fit_fear.wav,fear,fit,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_five_fear.wav,fear,five,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_food_fear.wav,fear,food,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_gap_fear.wav,fear,gap,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_gas_fear.wav,fear,gas,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_gaze_fear.wav,fear,gaze,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_germ_fear.wav,fear,germ,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_get_fear.wav,fear,get,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_gin_fear.wav,fear,gin,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_goal_fear.wav,fear,goal,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_good_fear.wav,fear,good,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_goose_fear.wav,fear,goose,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_gun_fear.wav,fear,gun,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_half_fear.wav,fear,half,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hall_fear.wav,fear,hall,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hash_fear.wav,fear,hash,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hate_fear.wav,fear,hate,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_have_fear.wav,fear,have,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_haze_fear.wav,fear,haze,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hire_fear.wav,fear,hire,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hit_fear.wav,fear,hit,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hole_fear.wav,fear,hole,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_home_fear.wav,fear,home,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hurl_fear.wav,fear,hurl,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hush_fear.wav,fear,hush,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_jail_fear.wav,fear,jail,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_jar_fear.wav,fear,jar,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_join_fear.wav,fear,join,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_judge_fear.wav,fear,judge,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_jug_fear.wav,fear,jug,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_juice_fear.wav,fear,juice,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_keen_fear.wav,fear,keen,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_keep_fear.wav,fear,keep,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_keg_fear.wav,fear,keg,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_kick_fear.wav,fear,kick,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_kill_fear.wav,fear,kill,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_king_fear.wav,fear,king,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_kite_fear.wav,fear,kite,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_knock_fear.wav,fear,knock,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_late_fear.wav,fear,late,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_laud_fear.wav,fear,laud,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_lean_fear.wav,fear,lean,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_learn_fear.wav,fear,learn,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_lease_fear.wav,fear,lease,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_lid_fear.wav,fear,lid,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_life_fear.wav,fear,life,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_limb_fear.wav,fear,limb,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_live_fear.wav,fear,live,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_loaf_fear.wav,fear,loaf,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_long_fear.wav,fear,long,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_lore_fear.wav,fear,lore,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_lose_fear.wav,fear,lose,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_lot_fear.wav,fear,lot,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_love_fear.wav,fear,love,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_luck_fear.wav,fear,luck,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_make_fear.wav,fear,make,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_match_fear.wav,fear,match,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_merge_fear.wav,fear,merge,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_mess_fear.wav,fear,mess,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_met_fear.wav,fear,met,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_mill_fear.wav,fear,mill,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_mob_fear.wav,fear,mob,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_mode_fear.wav,fear,mode,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_mood_fear.wav,fear,mood,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_moon_fear.wav,fear,moon,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_mop_fear.wav,fear,mop,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_mouse_fear.wav,fear,mouse,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_nag_fear.wav,fear,nag,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_name_fear.wav,fear,name,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_near_fear.wav,fear,near,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_neat_fear.wav,fear,neat,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_nice_fear.wav,fear,nice,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_note_fear.wav,fear,note,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_numb_fear.wav,fear,numb,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pad_fear.wav,fear,pad,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_page_fear.wav,fear,page,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pain_fear.wav,fear,pain,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pass_fear.wav,fear,pass,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pearl_fear.wav,fear,pearl,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_peg_fear.wav,fear,peg,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_perch_fear.wav,fear,perch,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_phone_fear.wav,fear,phone,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pick_fear.wav,fear,pick,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pike_fear.wav,fear,pike,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pole_fear.wav,fear,pole,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_pool_fear.wav,fear,pool,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_puff_fear.wav,fear,puff,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_rag_fear.wav,fear,rag,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_raid_fear.wav,fear,raid,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_rain_fear.wav,fear,rain,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_raise_fear.wav,fear,raise,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
